Customer ID,Recency,Frequency,Monetary,AvgOrderValue,Tenure,AvgDaysBetweenOrders,Churned
12346.0,235,1,77183.6,77183.6,0,0.0,1
12747.0,19,8,2769.4,39.56285714285715,259,32.375,0
12748.0,0,132,13873.21,7.017303995953465,282,2.1363636363636362,0
12749.0,39,3,2755.23,21.525234375,82,27.333333333333332,0
12820.0,236,1,170.46,15.496363636363638,0,0.0,0
12821.0,123,1,92.72,15.453333333333333,0,0.0,1
12823.0,36,4,1224.0,306.0,169,42.25,0
12826.0,88,4,818.62,14.618214285714286,186,46.5,0
12828.0,8,3,415.51,16.6204,31,10.333333333333334,0
12829.0,246,2,293.0,26.636363636363637,23,11.5,1
12830.0,0,5,6414.32,178.17555555555555,80,16.0,0
12831.0,171,1,215.05,23.894444444444446,0,0.0,1
12832.0,7,1,267.8,14.877777777777778,0,0.0,0
12833.0,54,1,417.38,17.390833333333333,0,0.0,1
12834.0,192,1,312.38,17.354444444444443,0,0.0,1
12836.0,46,3,2112.53,16.90024,174,58.0,0
12837.0,82,1,134.1,11.174999999999999,0,0.0,1
12838.0,283,1,390.79,6.623559322033898,0,0.0,0
12839.0,1,9,3097.39,17.018626373626372,274,30.444444444444443,0
12840.0,53,4,2726.77,24.13070796460177,82,20.5,1
12841.0,16,17,2829.91,9.65839590443686,265,15.588235294117647,0
12842.0,218,1,310.73,22.195,0,0.0,0
12843.0,69,7,1692.31,16.59127450980392,104,14.857142857142858,0
12844.0,39,1,174.88,6.2457142857142856,0,0.0,0
12845.0,176,4,354.09,13.114444444444443,22,5.5,1
12849.0,178,1,668.8499999999999,19.672058823529408,0,0.0,0
12851.0,6,1,131.81,2.8044680851063832,0,0.0,1
12852.0,204,1,311.55,18.326470588235296,0,0.0,1
12853.0,44,6,1957.1000000000001,25.09102564102564,181,30.166666666666668,1
12854.0,150,2,810.37,10.662763157894737,77,38.5,0
12855.0,282,1,38.1,12.700000000000001,0,0.0,1
12857.0,120,2,1106.4,24.05217391304348,91,45.5,1
12864.0,47,1,147.12,49.04,0,0.0,1
12867.0,5,6,3015.96,7.013860465116279,263,43.833333333333336,0
12868.0,95,6,1607.0600000000002,15.0192523364486,187,31.166666666666668,1
12871.0,116,1,132.0,33.0,0,0.0,0
12872.0,236,2,599.97,9.090454545454547,38,19.0,1
12873.0,191,1,374.0,93.5,0,0.0,1
